Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,Rate,Size,regime,Monodispersity
3,125,3.0,3.0,2.5,2.0,3.0,2.0,0.066,31.65,245.1,1,4.36
5,175,1.5,2.0,3.0,3.5,3.0,2.0,0.066,18.22,242.86,1,0.95
6,125,2.5,2.0,2.0,4.0,2.5,2.0,0.066,11.83,242.42,1,3.66
19,150,2.0,2.0,2.5,2.5,4.0,2.0,0.033,19.78,225.65,1,0.67
22,150,2.0,2.0,2.5,2.5,4.0,2.0,0.066,46.15,214.34,1,2.1
29,100,3.0,2.0,1.5,3.0,3.5,2.0,0.033,11.88,211.71,1,0.96
30,125,3.0,3.0,2.5,2.0,3.0,6.0,0.033,8.19,211.71,1,1.5
34,175,3.0,5.0,2.0,2.5,2.0,13.0,0.066,9.38,207.04,1,3.5
36,100,2.5,6.0,1.0,2.5,3.0,2.0,0.066,23.11,204.9,1,2.75
37,125,2.0,6.0,1.5,3.5,2.0,2.0,0.033,7.73,204.13,1,4.49
38,175,1.0,6.0,2.5,3.0,2.5,2.0,0.033,10.73,201.75,1,5.09
42,175,3.0,5.0,2.0,2.5,2.0,10.0,0.066,13.4,200.65,1,2.78
50,175,2.0,3.0,1.0,4.0,3.5,6.0,0.066,15.01,197.22,1,1.51
52,100,3.0,2.0,1.5,3.0,3.5,2.0,0.066,29.85,196.24,1,1.63
54,175,3.0,5.0,2.0,2.5,2.0,22.0,0.066,6.61,195.29,1,4.84
57,125,2.0,6.0,1.5,3.5,2.0,2.0,0.066,18.32,192.9,1,6.15
62,175,1.0,6.0,2.5,3.0,2.5,2.0,0.066,25.69,189.99,1,6.43
64,150,3.0,4.01,1.0,3.5,2.49,8.0,0.05,9.23,189.54,1,7.43
65,175,3.0,5.0,2.0,2.5,2.0,16.0,0.066,9.99,189.22,1,1.11
66,175,2.5,4.0,1.5,2.0,4.0,6.0,0.066,48.43,188.07,1,1.94
68,125,1.5,5.0,1.0,3.0,4.0,2.0,0.033,14.93,187.64,1,4.32
79,150,1.0,5.0,1.5,4.0,3.0,2.0,0.066,17.64,185.1,1,4.95
83,150,1.5,6.0,2.0,2.0,3.5,2.0,0.033,30.83,183.44,1,1.14
86,125,3.0,3.0,2.5,2.0,3.0,10.0,0.033,7.68,182.39,1,2.98
88,100,2.5,6.0,1.0,2.5,3.0,6.0,0.033,5.54,181.57,1,2.1
89,150,3.0,4.0,1.0,3.5,2.5,19.0,0.066,5.86,181.52,1,9.48
91,175,3.0,5.0,2.0,2.5,2.0,13.0,0.132,28.5,180.12,1,2.55
92,150,1.0,5.0,1.5,4.0,3.0,2.0,0.033,9.6,179.91,1,4.85
95,175,3.0,5.0,2.0,2.5,2.0,10.0,0.132,38.16,178.35,1,3.5
96,125,2.5,2.0,2.0,4.0,2.5,6.0,0.066,10.17,176.76,1,2.88
102,150,2.5,3.0,3.0,3.0,2.0,6.0,0.066,17.91,172.59,1,2.79
111,100,3.0,2.0,1.5,3.0,3.5,6.0,0.033,7.62,170.24,1,3.66
112,125,3.0,3.0,2.5,2.0,3.0,6.0,0.066,31.63,169.98,1,2.29
119,175,2.5,4.0,1.5,2.0,4.0,19.0,0.033,10.69,168.2,1,1.87
122,175,2.5,4.0,1.5,2.0,4.0,10.0,0.066,40.99,167.69,1,3.21
124,175,2.5,4.0,1.5,2.0,4.0,10.0,0.033,20.53,167.6,1,2.0
126,150,1.5,6.0,2.0,2.0,3.5,2.0,0.066,81.66,167.04,1,2.7
129,125,1.5,5.0,1.0,3.0,4.0,2.0,0.066,43.43,165.6,1,4.51
131,150,3.0,4.01,1.0,3.5,2.49,8.0,0.1,27.83,165.28,1,3.6
132,175,2.5,4.0,1.5,2.0,4.0,22.0,0.033,9.78,165.01,1,2.55
133,150,3.0,4.0,1.0,3.5,2.5,10.0,0.066,14.9,164.72,1,2.58
135,175,2.0,3.0,1.0,4.0,3.5,10.0,0.132,31.02,164.53,1,1.9
139,175,1.0,6.0,2.5,3.0,2.5,6.0,0.033,6.83,162.59,1,1.76
140,175,2.0,3.0,1.0,4.0,3.5,19.0,0.066,8.48,162.45,1,8.48
142,175,2.5,4.0,1.5,2.0,4.0,13.0,0.033,17.47,162.04,1,2.53
144,150,3.0,4.0,1.0,3.5,2.5,10.0,0.132,32.08,160.71,1,3.56
153,175,2.51,4.03,1.44,2.0,3.94,8.0,0.05,45.91,157.91,1,2.55
157,175,2.5,4.0,1.5,2.0,4.0,16.0,0.033,15.54,157.22,1,3.17
158,75,3.0,6.0,3.0,4.0,4.0,2.0,0.033,13.75,157.06,1,5.48
168,175,3.0,5.0,2.0,2.5,2.0,16.0,0.132,36.86,154.27,1,5.15
169,125,1.0,4.0,3.0,2.5,3.5,2.0,0.033,19.22,154.22,1,1.59
171,75,2.5,5.0,2.5,3.5,3.5,2.0,0.033,12.42,153.96,1,3.32
172,100,1.5,4.0,2.5,4.0,2.0,2.0,0.033,7.77,152.64,1,2.8
173,125,3.0,3.0,2.5,2.0,3.0,16.0,0.033,8.19,152.63,1,2.43
175,100,2.5,6.0,1.0,2.5,3.0,6.0,0.066,18.83,152.12,1,3.1
176,175,2.5,4.0,1.5,2.0,4.0,13.0,0.066,42.31,152.04,1,1.77
179,150,3.0,4.01,1.0,3.5,2.49,14.0,0.05,10.44,150.92,1,4.7
181,150,3.0,4.0,1.0,3.5,2.5,13.0,0.132,30.08,150.45,1,8.41
183,75,3.0,6.0,3.0,4.0,4.0,2.0,0.066,31.75,149.7,1,2.94
186,125,2.5,2.0,2.0,4.0,2.5,13.0,0.066,7.82,149.11,1,5.32
188,125,2.0,6.0,1.5,3.5,2.0,6.0,0.033,6.68,148.56,1,2.3
190,125,3.0,3.0,2.5,2.0,3.0,13.0,0.033,11.22,147.3,1,5.71
191,75,2.0,4.0,2.0,3.0,3.0,2.0,0.033,11.84,146.56,1,2.01
192,150,2.5,3.0,3.0,3.0,2.0,10.0,0.132,35.26,146.33,1,2.57
194,175,1.5,2.0,3.0,3.5,3.0,10.0,0.066,16.96,145.46,1,0.95
196,175,2.0,3.0,1.0,4.0,3.5,10.0,0.066,22.51,145.31,1,1.73
199,150,3.0,4.0,1.0,3.5,2.5,13.0,0.066,16.94,144.6,1,9.19
205,175,2.0,3.0,1.0,4.0,3.5,16.0,0.066,14.81,142.86,1,4.54
207,100,1.5,4.0,2.5,4.0,2.0,2.0,0.066,19.02,142.68,1,3.57
208,150,2.0,2.0,2.5,2.5,4.0,6.0,0.066,52.35,142.51,1,1.98
210,125,1.0,4.0,3.0,2.5,3.5,2.0,0.066,49.4,141.84,1,1.04
214,125,2.5,2.0,2.0,4.0,2.5,16.0,0.066,7.44,141.48,1,12.12
216,100,2.0,5.0,3.0,2.0,2.5,2.0,0.066,61.54,141.03,1,1.12
221,175,2.0,3.0,1.0,4.0,3.5,13.0,0.066,19.42,139.86,1,2.19
223,75,2.5,5.0,2.5,3.5,3.5,2.0,0.066,33.49,139.35,1,3.08
225,175,2.5,4.0,1.5,2.0,4.0,16.0,0.066,44.9,139.09,1,2.18
226,175,2.5,4.0,1.5,2.0,4.0,19.0,0.066,37.91,138.96,1,4.34
230,175,3.0,5.0,2.0,2.5,2.0,19.0,0.132,43.22,138.15,1,3.71
233,100,3.0,2.0,1.5,3.0,3.5,10.0,0.033,8.66,137.58,1,4.12
237,150,3.0,4.0,1.0,3.5,2.5,16.0,0.132,32.75,136.46,1,3.38
240,150,1.0,5.0,1.5,4.0,3.0,6.0,0.066,14.95,135.61,1,4.22
242,175,3.0,5.0,2.0,2.5,2.0,22.0,0.132,39.73,135.31,1,2.52
243,150,2.5,3.0,3.0,3.0,2.0,10.0,0.066,22.42,135.06,1,2.2
244,175,1.49,2.02,2.99,3.49,2.98,8.0,0.05,20.05,134.75,1,3.36
246,175,1.5,2.0,3.0,3.5,3.0,10.0,0.264,85.7,134.56,1,7.1
247,150,2.5,3.0,3.0,3.0,2.0,22.0,0.033,5.15,134.54,1,7.11
249,150,2.0,2.0,2.5,2.5,4.0,6.0,0.033,31.25,134.33,1,1.54
250,175,3.0,5.0,2.0,2.5,2.0,19.0,0.066,23.53,134.29,1,4.17
252,100,2.0,5.0,3.0,2.0,2.5,2.0,0.033,36.29,133.48,1,5.03
253,175,1.0,6.0,2.5,3.0,2.5,6.0,0.066,24.73,133.42,1,1.46
254,100,3.0,2.0,1.5,3.0,3.5,16.0,0.033,5.95,133.28,1,2.75
259,175,2.0,3.0,1.0,4.0,3.5,16.0,0.132,37.63,131.89,1,2.03
263,150,2.5,3.0,3.0,3.0,2.0,13.0,0.066,19.14,130.45,1,5.4
265,175,2.0,3.0,1.0,4.0,3.5,13.0,0.132,48.16,130.19,1,2.15
269,175,1.0,6.0,2.5,3.0,2.5,10.0,0.066,16.19,129.59,1,2.14
271,75,2.5,5.0,2.5,3.5,3.5,6.0,0.033,7.05,128.9,1,0.9
272,75,1.5,3.0,1.5,2.5,2.5,2.0,0.033,13.64,128.79,1,2.49
274,100,1.0,3.0,2.0,3.5,4.0,2.0,0.033,17.0,128.49,1,1.93
275,175,2.0,3.0,1.0,4.0,3.5,19.0,0.132,34.39,128.35,1,1.9
276,125,2.0,6.0,1.5,3.5,2.0,10.0,0.033,6.22,128.34,1,2.18
279,125,3.0,3.0,2.5,2.0,3.0,19.0,0.033,11.79,127.66,1,4.47
281,75,2.0,4.0,2.0,3.0,3.0,6.0,0.033,6.02,127.34,1,2.47
282,150,2.0,2.0,2.5,2.5,4.0,16.0,0.033,13.76,127.33,1,1.74
285,125,2.5,2.0,2.0,4.0,2.5,10.0,0.066,16.66,126.5,1,3.9
286,75,2.0,4.0,2.0,3.0,3.0,2.0,0.066,36.86,126.47,1,1.55
290,150,3.0,4.0,1.0,3.5,2.5,22.0,0.066,15.05,126.22,1,5.73
291,150,3.0,4.01,1.0,3.5,2.49,14.0,0.1,35.74,126.19,1,4.78
293,150,3.0,4.01,1.0,3.5,2.49,20.0,0.05,12.69,125.6,1,6.82
294,175,2.0,3.0,1.0,4.0,3.5,22.0,0.066,15.88,125.51,1,5.03
295,150,1.5,6.0,2.0,2.0,3.5,6.0,0.033,32.2,125.35,1,3.5
300,150,2.0,2.0,2.5,2.5,4.0,10.0,0.033,23.8,124.06,1,2.68
308,125,2.0,6.0,1.5,3.5,2.0,6.0,0.066,23.87,122.46,1,6.02
310,125,1.5,5.0,1.0,3.0,4.0,6.0,0.033,18.15,121.91,1,5.04
314,175,1.5,2.0,3.0,3.5,3.0,13.0,0.132,46.13,120.29,1,2.72
317,125,1.0,4.0,3.0,2.5,3.5,13.0,0.033,6.31,119.75,1,1.25
318,100,2.5,6.0,1.0,2.5,3.0,19.0,0.033,6.13,119.54,1,3.97
319,100,1.5,4.0,2.5,4.0,2.0,10.0,0.066,6.47,119.52,1,1.03
323,150,1.5,6.0,2.0,2.0,3.5,6.0,0.066,75.91,118.67,1,2.94
325,175,1.5,2.0,3.0,3.5,3.0,10.0,0.132,62.88,118.41,1,5.51
329,175,1.49,2.02,2.99,3.49,2.98,8.0,0.1,59.96,117.85,1,1.19
333,150,2.0,2.0,2.5,2.5,4.0,19.0,0.033,14.94,116.99,1,3.18
334,100,3.0,2.0,1.5,3.0,3.5,6.0,0.066,47.07,116.89,1,1.49
336,100,1.5,4.0,2.5,4.0,2.0,6.0,0.033,5.83,116.43,1,4.16
339,175,1.49,2.02,2.99,3.49,2.98,10.07,0.046,23.11,115.64,1,5.19
340,125,3.0,3.0,2.5,2.0,3.0,10.0,0.066,60.38,115.57,1,2.35
341,175,1.5,2.0,3.0,3.5,3.0,13.0,0.066,26.07,115.48,1,7.33
343,100,2.0,5.0,3.0,2.0,2.5,6.0,0.033,18.84,115.15,1,1.17
345,125,2.5,2.0,2.0,4.0,2.5,10.0,0.132,44.3,115.03,1,2.25
346,175,2.5,4.0,1.5,2.0,4.0,22.0,0.066,57.84,114.96,1,4.11
