Experiment number,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,
1,75.00,1.00,2.00,1.00,2.00,2.00,10.00,0.066096,28.57,66.19,1,,,,,,,,
2,75.00,1.00,2.00,1.00,2.00,2.00,10.00,0.132192,135.75,49.61,1,,,,,,,,
3,75.00,1.00,2.00,1.00,2.00,2.00,10.00,0.264384,327.61,46.59,1,,,,,,,,
4,75.00,1.00,2.00,1.00,2.00,2.00,10.00,0.528768,312.46,59.64,2,,,,,,,,
5,75.00,1.00,2.00,1.00,2.00,2.00,10.00,1.057536,532.97,62.89,2,,,,,,,,
6,75.00,1.00,2.00,1.00,2.00,2.00,13.00,0.066096,21.05,67.15,1,,,,,,,,
7,75.00,1.00,2.00,1.00,2.00,2.00,13.00,0.132192,149.60,44.00,1,,,,,,,,
8,75.00,1.00,2.00,1.00,2.00,2.00,13.00,0.264384,348.12,41.84,1,,,,,,,,
9,75.00,1.00,2.00,1.00,2.00,2.00,13.00,0.528768,363.39,51.96,2,,,,,,,,
10,75.00,1.00,2.00,1.00,2.00,2.00,13.00,1.057536,538.04,57.44,2,,,,,,,,
11,75.00,1.00,2.00,1.00,2.00,2.00,16.00,0.066096,24.95,59.21,1,,,,,,,,
12,75.00,1.00,2.00,1.00,2.00,2.00,16.00,0.132192,220.13,36.10,1,,,,,,,,
13,75.00,1.00,2.00,1.00,2.00,2.00,16.00,0.264384,353.06,38.86,1,,,,,,,,
14,75.00,1.00,2.00,1.00,2.00,2.00,16.00,0.528768,359.25,48.67,2,,,,,,,,
15,75.00,1.00,2.00,1.00,2.00,2.00,16.00,1.057536,646.28,50.42,2,,,,,,,,
16,75.00,1.00,2.00,1.00,2.00,2.00,19.00,0.066096,28.55,53.45,1,,,,,,,,
17,75.00,1.00,2.00,1.00,2.00,2.00,19.00,0.132192,221.77,34.01,1,,,,,,,,
18,75.00,1.00,2.00,1.00,2.00,2.00,19.00,0.264384,377.10,35.90,1,,,,,,,,
19,75.00,1.00,2.00,1.00,2.00,2.00,19.00,0.528768,396.23,44.49,2,,,,,,,,
20,75.00,1.00,2.00,1.00,2.00,2.00,19.00,1.057536,818.75,44.01,2,,,,,,,,
21,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.066096,46.40,43.30,1,,,,,,,,
22,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.132192,295.26,29.44,1,,,,,,,,
23,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.264384,475.45,31.64,1,,,,,,,,
24,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.528768,497.65,39.27,2,,,,,,,,
25,75.00,1.00,2.00,1.00,2.00,2.00,22.00,1.057536,697.52,44.21,2,,,,,,,,
26,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.066096,45.76,63.38,1,,,,,,,,
27,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.132192,115.77,58.60,1,,,,,,,,
28,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.264384,123.99,72.17,2,,,,,,,,
29,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.528768,205.96,76.78,2,,,,,,,,
30,75.00,1.50,3.00,1.50,2.50,2.50,10.00,1.057536,445.04,74.82,2,,,,,,,,
31,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.066096,46.40,57.80,1,,,,,,,,
32,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.132192,123.91,52.49,1,,,,,,,,
33,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.264384,126.76,65.64,2,,,,,,,,
34,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.528768,243.13,66.56,2,,,,,,,,
35,75.00,1.50,3.00,1.50,2.50,2.50,13.00,1.057536,444.15,68.60,2,,,,,,,,
36,75.00,1.50,3.00,1.50,2.50,2.50,16.00,0.066096,48.78,53.05,1,,,,,,,,
37,75.00,1.50,3.00,1.50,2.50,2.50,16.00,0.132192,161.40,44.85,1,,,,,,,,
38,75.00,1.50,3.00,1.50,2.50,2.50,16.00,0.264384,132.80,60.31,2,,,,,,,,
39,75.00,1.50,3.00,1.50,2.50,2.50,16.00,0.528768,230.23,63.25,2,,,,,,,,
40,75.00,1.50,3.00,1.50,2.50,2.50,16.00,1.057536,451.61,63.66,2,,,,,,,,
41,75.00,1.50,3.00,1.50,2.50,2.50,19.00,0.066096,53.34,48.62,1,,,,,,,,
42,75.00,1.50,3.00,1.50,2.50,2.50,19.00,0.132192,102.01,49.35,2,,,,,,,,
43,75.00,1.50,3.00,1.50,2.50,2.50,19.00,0.264384,156.25,53.94,2,,,,,,,,
44,75.00,1.50,3.00,1.50,2.50,2.50,19.00,0.528768,256.02,57.65,2,,,,,,,,
45,75.00,1.50,3.00,1.50,2.50,2.50,19.00,1.057536,497.31,58.21,2,,,,,,,,
46,75.00,1.50,3.00,1.50,2.50,2.50,22.00,0.066096,64.06,43.56,1,,,,,,,,
47,75.00,1.50,3.00,1.50,2.50,2.50,22.00,0.132192,95.84,47.99,2,,,,,,,,
48,75.00,1.50,3.00,1.50,2.50,2.50,22.00,0.264384,145.16,52.65,2,,,,,,,,
49,75.00,1.50,3.00,1.50,2.50,2.50,22.00,0.528768,267.61,54.10,2,,,,,,,,
50,75.00,1.50,3.00,1.50,2.50,2.50,22.00,1.057536,533.87,54.14,2,,,,,,,,
51,75.00,2.00,4.00,2.00,3.00,3.00,10.00,0.066096,30.87,78.46,1,,,,,,,,
52,75.00,2.00,4.00,2.00,3.00,3.00,10.00,0.132192,115.93,63.60,1,,,,,,,,
53,75.00,2.00,4.00,2.00,3.00,3.00,10.00,0.264384,60.30,99.64,2,,,,,,,,
54,75.00,2.00,4.00,2.00,3.00,3.00,10.00,0.528768,123.07,98.97,2,,,,,,,,
55,75.00,2.00,4.00,2.00,3.00,3.00,10.00,1.057536,241.94,99.54,2,,,,,,,,
56,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.066096,29.47,73.01,1,,,,,,,,
57,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.132192,125.75,56.72,1,,,,,,,,
58,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.264384,77.49,83.97,2,,,,,,,,
59,75.00,2.00,4.00,2.00,3.00,3.00,13.00,0.528768,122.47,90.83,2,,,,,,,,
60,75.00,2.00,4.00,2.00,3.00,3.00,13.00,1.057536,228.49,92.96,2,,,,,,,,
61,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.066096,36.85,63.24,1,,,,,,,,
62,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.132192,99.53,57.22,1,,,,,,,,
63,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.264384,79.11,77.82,2,,,,,,,,
64,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.528768,140.69,80.93,2,,,,,,,,
65,75.00,2.00,4.00,2.00,3.00,3.00,16.00,1.057536,239.41,85.40,2,,,,,,,,
66,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.066096,34.51,61.04,1,,,,,,,,
67,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.132192,121.81,50.51,1,,,,,,,,
68,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.264384,75.27,74.72,2,,,,,,,,
69,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.528768,128.37,78.79,2,,,,,,,,
70,75.00,2.00,4.00,2.00,3.00,3.00,19.00,1.057536,246.65,79.85,2,,,,,,,,
71,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.066096,35.71,57.47,1,,,,,,,,
72,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.132192,130.22,47.04,1,,,,,,,,
73,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.264384,78.38,70.20,2,,,,,,,,
74,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.528768,150.30,71.19,2,,,,,,,,
75,75.00,2.00,4.00,2.00,3.00,3.00,22.00,1.057536,255.86,75.12,2,,,,,,,,
76,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.066096,29.61,84.90,1,,,,,,,,
