Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Rate
1,175.00,2.51,4.03,1.44,2.00,3.94,8.00,0.200,48.27
2,175.00,2.51,4.03,1.44,2.00,3.94,8.00,0.150,36.66
3,175.00,2.51,4.03,1.44,2.00,3.94,8.00,0.100,24.57
4,175.00,3.00,5.00,2.00,2.50,2.00,16.00,0.264,19.90
5,175.00,2.50,4.00,1.50,2.00,4.00,10.00,0.529,113.86
6,175.00,2.50,4.00,1.50,2.00,4.00,10.00,0.264,58.63
7,150.00,1.50,6.00,2.00,2.00,3.50,10.00,0.132,11.56
8,150.00,3.00,4.01,1.00,3.50,2.49,8.00,0.200,19.99
9,175.00,2.50,4.00,1.50,2.00,4.00,10.00,0.132,30.84
10,150.00,3.00,4.01,1.00,3.50,2.49,8.00,0.150,15.06
11,175.00,2.50,4.00,1.50,2.00,4.00,10.00,1.058,248.32
12,150.00,3.00,4.00,1.00,3.50,2.50,10.00,0.529,42.96
13,150.00,3.00,4.00,1.00,3.50,2.50,10.00,1.058,89.26
14,175.00,3.00,5.00,2.00,2.50,2.00,19.00,1.058,77.19
15,175.00,3.00,5.00,2.00,2.50,2.00,16.00,0.529,46.88
16,175.00,2.50,4.00,1.50,2.00,4.00,13.00,0.529,109.46
17,175.00,3.00,5.00,2.00,2.50,2.00,22.00,1.058,79.72
18,175.00,2.50,4.00,1.50,2.00,4.00,13.00,1.058,241.77
19,175.00,3.00,5.00,2.00,2.50,2.00,19.00,0.529,46.61
20,175.00,2.50,4.00,1.50,2.00,4.00,16.00,0.264,49.56
